Ankomstdatum;Fynddatum;Djurslag;Resultat;coords.x1;coords.x2
2017-01-02;;Domherre;0;21.6819854247219;65.4310919350108
2017-01-03;;Skrattmås;0;12.9915421536353;55.6030977533142
2017-01-04;;Tjäder;0;17.927187741077;60.2510449271229
2017-01-09;;Skata;0;14.989820255891;57.7635322945818
2017-01-09;;Skata;0;14.989820255891;57.7635322945818
2017-01-10;;Kattuggla;0;18.3719519124677;60.2600995838107
2017-01-10;;Tretåig mås;0;12.2556794233811;57.0702212375542
2017-01-11;;Kaja;0;12.9964795881508;55.5815552652868
2017-01-11;2017-01-06;Berguv;0;14.9497425675426;60.5048715261733
2017-01-11;;Havsörn;0;17.7057690817598;60.2286949759952
2017-01-11;;Havsörn;0;17.7057690817598;60.2286949759952
2017-01-11;;Ormvråk;0;14.199136642189;55.6710026789854
2017-01-11;;Ormvråk;0;14.209238198681;55.6177210861378
2017-01-11;;Ormvråk;0;13.0725296124191;56.0408364629991
2017-01-11;;Ormvråk;0;14.0524994650758;55.5985922224686
2017-01-11;;Ormvråk;0;13.3236892457011;55.4858599617005
2017-01-11;;Rödspov;0;14.1302300088643;56.0386418706365
2017-01-11;;Kungsörn;0;22.3086770764669;65.6029243590226
2017-01-11;;Skarv (Släkte);0;12.6075646433609;56.1199722284068
2017-01-13;2016-12-19;Havsörn;0;16.712945905201;56.6708526343122
2017-01-13;2017-01-05;Havsörn;0;16.7071220628911;57.5048925145893
2017-01-13;;Sångsvan;0;13.1025440884425;57.245782846199
2017-01-16;2017-01-10;Berguv;0;19.0950746885483;57.9066891259816
2017-01-16;;Gräsand;0;17.1222730124518;60.671676915373
2017-01-16;;Kungsörn;0;18.4127639548746;57.1127374759122
2017-01-16;;Havsörn;0;18.2214452881254;57.0741346567836
2017-01-16;;Kungsörn;0;18.6697196806764;57.2252448057544
2017-01-18;;Kaja;0;17.6742965838849;59.8717389585266
2017-01-18;;Kaja;0;17.6742965838849;59.8717389585266
2017-01-18;;Kaja;0;17.6742965838849;59.8717389585266
2017-01-18;;Kaja;0;17.6742965838849;59.8717389585266
2017-01-18;;Kaja;0;17.6742965838849;59.8717389585266
2017-01-18;;Nötskrika;0;15.8652687418348;58.3000199680352
2017-01-18;;Ringduva;0;12.8138764031695;56.0314245480768
2017-01-18;;Ringduva;0;12.8138764031695;56.0314245480768
2017-01-19;;Pilgrimsfalk;0;18.4288410660491;57.7964422469377
2017-01-19;;Kråka;0;12.6346383138424;56.1000472892392
2017-01-19;;Kaja;0;12.6346383138424;56.1000472892392
2017-01-19;2017-01-17;Hökuggla;0;15.3870865697421;60.4620861177548
2017-01-20;;Skata;0;18.7164264034297;59.8932981545795
2017-01-20;;Hökuggla;0;14.518613002129;59.7826364872153
2017-01-24;;Gräsand;0;16.1833460673164;58.5966271960529
2017-01-25;;Havsörn;0;16.1364136272998;56.5921278840463
2017-01-25;;Havsörn;0;16.4081995221677;56.7805084126862
2017-01-26;;Häger;0;15.4788064441294;56.1742673600195
2017-01-26;;Slaguggla;0;18.6610497938647;64.6474068338923
2017-01-26;;Gräsand;0;15.2295618912598;57.4809204961872
2017-01-27;;Bofink;0;15.5600372522883;58.2928475524953
2017-01-27;;Havsörn;0;17.6821976330293;58.9301046488369
2017-01-27;;Gräsand;0;17.0184679960672;59.3620727670272
2017-01-27;;Gräsand;0;17.0184679960672;59.3620727670272
2017-01-27;;Gräsand;0;17.0184679960672;59.3620727670272
2017-01-27;;Gräsand;0;17.0184679960672;59.3620727670272
2017-01-27;;Gräsand;0;17.0184679960672;59.3620727670272
2017-01-27;;Gräsand;0;17.0184679960672;59.3620727670272
2017-01-31;;Ormvråk;0;13.0511331957774;56.1387020605474
2017-02-01;;Blåmes;0;13.0989043948343;58.0012655248298
2017-02-01;;Knölsvan;0;18.0326937556165;59.3280452946786
2017-02-02;2016-11-24;Knölsvan;0;18.0241229944241;59.3108604912375
2017-02-08;;Havsörn;0;17.4536064762211;60.6033790443599
2017-02-08;;Knölsvan;0;13.1105024221006;55.7962080060344
